initial,pulse,tau,state,real,imag,probability
"|0,01>",atom_pi_1,0.0,"|0,01>",1.0,0.0,1.0
"|0,01>",atom_pi_1,0.0,"|r,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.0,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.0,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.006289308176100629,"|0,01>",0.9999512009264593,5.609972620483813e-10,0.9999024042342681
"|0,01>",atom_pi_1,0.006289308176100629,"|r,01>",-1.703552870983593e-07,-0.009879043256032193,9.759549568357607e-05
"|0,01>",atom_pi_1,0.006289308176100629,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.006289308176100629,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.012578616352201259,"|0,01>",0.9998048090086846,4.487809436859235e-09,0.9996096561168923
"|0,01>",atom_pi_1,0.012578616352201259,"|r,01>",-6.813784684572924e-07,-0.01975701298728597,0.0003903395626440631
"|0,01>",atom_pi_1,0.012578616352201259,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.012578616352201259,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.01886792452830189,"|0,01>",0.999560840154586,1.514540817754762e-08,0.9991218731705421
"|0,01>",atom_pi_1,0.01886792452830189,"|r,01>",-1.5329415132227077e-06,-0.029632835797120994,0.0008781049597290451
"|0,01>",atom_pi_1,0.01886792452830189,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.01886792452830189,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.025157232704402517,"|0,01>",0.9992193208752371,3.589707879482723e-08,0.9984392512103715
"|0,01>",atom_pi_1,0.025157232704402517,"|r,01>",-2.724831066483817e-06,-0.0395054385451567,0.001560679682069857
"|0,01>",atom_pi_1,0.025157232704402517,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.025157232704402517,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.031446540880503145,"|0,01>",0.9987802882817105,7.010357752808185e-08,0.9975620642601016
"|0,01>",atom_pi_1,0.031446540880503145,"|r,01>",-4.256748494035927e-06,-0.04937374847536092,0.0024377670566281128
"|0,01>",atom_pi_1,0.031446540880503145,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.031446540880503145,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.03773584905660378,"|0,01>",0.9982437900806486,1.2112228934703893e-07,0.9964906644345926
"|0,01>",atom_pi_1,0.03773584905660378,"|r,01>",-6.128309945035846e-06,-0.05923669334408918,0.0035089858758978426
